City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,jamestown,42.097,-79.2353,10.77,75,100,2.68,US,1697680100
133,carnarvon,-24.8667,113.6333,27.53,44,100,7.43,AU,1697680282
134,quellon,-43.1167,-73.6167,8.73,92,93,2.29,CL,1697680282
135,papatowai,-46.5619,169.4708,16.88,49,77,6.34,NZ,1697680282
136,wailua homesteads,22.0669,-159.378,30.24,65,0,4.63,US,1697680282
137,port saint john's,-31.6229,29.5448,17.91,81,44,3.16,ZA,1697680282
138,ceyrat,45.7318,3.0633,14.35,82,100,3.6,FR,1697680282
139,novodvinsk,64.4165,40.8122,3.77,78,100,3.97,RU,1697680283
140,san luis de la loma,17.2706,-100.8939,23.8,93,100,2.37,MX,1697680283
141,el porvenir,13.7617,-87.3458,22.63,89,86,2.91,HN,1697680283
142,bangar,16.8936,120.4243,30.12,62,77,1.54,PH,1697680283
143,atar,20.5169,-13.0499,29.63,19,0,1.57,MR,1697680283
144,talara,-4.5772,-81.2719,21.42,83,0,7.72,PE,1697680283
145,vila franca do campo,37.7167,-25.4333,21.23,90,87,6.92,PT,1697680283
146,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697680283
147,upington,-28.4478,21.2561,21.21,28,0,2.06,ZA,1697680284
148,eirunepe,-6.6603,-69.8736,25.41,75,8,0.9,BR,1697680284
149,bria,6.5423,21.9863,20.91,94,92,0.11,CF,1697680284
150,coquimbo,-29.9533,-71.3436,13.85,76,0,2.06,CL,1697680048
151,lensk,60.7253,114.9278,-1.27,80,100,3.58,RU,1697680284
152,cururupu,-1.8283,-44.8683,24.91,83,1,2.03,BR,1697680284
153,east london,-33.0153,27.9116,18.42,80,41,4.79,ZA,1697680284
154,kupang,-10.1667,123.5833,32.32,45,20,3.09,ID,1697680284
155,shache,38.4167,77.2406,8.17,22,61,1.93,CN,1697680284
156,st. john's,47.5649,-52.7093,7.86,89,100,4.12,CA,1697680108
157,college,64.8569,-147.8028,-1.63,77,75,2.06,US,1697680285
158,la rioja,42.25,-2.5,14.88,71,100,6.27,ES,1697680285
159,alice springs,-23.7,133.8833,30.75,8,0,5.66,AU,1697680285
160,carolina beach,34.0352,-77.8936,17.79,56,0,1.6,US,1697680206
161,princeville,45.7668,-61.2985,9.95,92,20,1.03,CA,1697680285
162,revda,56.801,59.9303,2.49,77,99,6.04,RU,1697680285
163,chonchi,-42.6128,-73.8092,9.56,95,59,1.42,CL,1697680285
164,gozyeri,40.866,32.5417,7.21,94,98,0.92,TR,1697680285
165,avarua,-21.2078,-159.775,24.03,64,75,4.12,CK,1697680285
166,amos,48.5669,-78.1162,8.12,76,100,3.25,CA,1697680285
167,nova xavantina,-14.6667,-52.35,28.6,29,5,0.86,BR,1697680286
168,ust-nera,64.5667,143.2,-12.66,77,100,0.45,RU,1697680286
169,zhalantun,48.0,122.7167,6.5,38,23,5.38,CN,1697680286
170,kodiak,57.79,-152.4072,9.73,37,0,7.2,US,1697680286
171,nagqu,31.5,92.0,-4.77,84,100,1.2,CN,1697680286
172,holualoa,19.6228,-155.9522,27.1,79,20,4.63,US,1697680286
173,atafu village,-8.5421,-172.5159,28.76,72,26,3.51,TK,1697680286
174,cabo san lucas,22.8909,-109.9124,28.43,78,100,1.46,MX,1697680226
175,gazojak,41.1875,61.4036,13.62,31,94,3.6,TM,1697680286
176,queenstown,-31.8976,26.8753,11.51,86,52,1.21,ZA,1697680286
177,tralee,52.2704,-9.7026,12.0,95,100,2.82,IE,1697680287
178,jalingo,8.8833,11.3667,24.46,80,70,0.92,NG,1697680287
179,hermanus,-34.4187,19.2345,16.18,85,37,7.9,ZA,1697680287
180,iqaluit,63.7506,-68.5145,-1.15,92,100,4.12,CA,1697680287
181,peace river,56.2501,-117.286,15.17,51,20,6.69,CA,1697680287
182,tselina,46.5338,41.0328,7.82,60,73,1.88,RU,1697680287
183,vorgashor,67.5833,63.95,0.41,80,100,6.26,RU,1697680287
184,callao,-12.0667,-77.15,20.95,82,100,6.17,PE,1697680287
185,vilyuchinsk,52.9306,158.4028,13.15,66,30,5.56,RU,1697680287
186,machico,32.7,-16.7667,23.73,77,20,2.57,PT,1697680288
187,fisterra,42.9049,-9.2629,19.45,85,100,11.28,ES,1697680288
188,new norfolk,-42.7826,147.0587,21.51,26,100,1.72,AU,1697680288
189,inhambane,-23.865,35.3833,20.41,95,25,3.21,MZ,1697680288
190,jieshou,33.2634,115.3611,18.35,65,100,3.85,CN,1697680288
191,yanam,16.7333,82.2167,25.69,83,69,1.53,IN,1697680288
192,freetown,8.484,-13.2299,22.84,100,75,2.57,SL,1697680288
193,duck lake,52.8168,-106.2344,9.51,68,15,3.21,CA,1697680289
194,nova sintra,14.8667,-24.7167,24.83,71,67,3.13,CV,1697680289
195,hotan,37.0997,79.9269,10.58,21,33,1.63,CN,1697680289
196,vorkuta,67.5,64.0,0.64,79,100,6.39,RU,1697680289
197,arkhangel'sk,64.5401,40.5433,3.96,78,100,4.39,RU,1697680289
198,terenozek,45.05,64.9833,9.92,37,19,4.23,KZ,1697680289
199,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,88,0,7.0,RU,1697680289
200,castillos,-34.1667,-53.8333,10.82,88,42,1.87,UY,1697680289
201,vila velha,-20.3297,-40.2925,22.97,89,75,6.17,BR,1697680289
202,sault ste. marie,46.5168,-84.3333,12.16,82,20,3.6,CA,1697680261
203,moissala,8.3404,17.7663,22.22,79,91,1.82,TD,1697680290
204,olanchito,15.5,-86.5667,20.91,100,100,0.59,HN,1697680290
205,walvis bay,-22.9575,14.5053,15.61,82,14,3.6,NA,1697680290
206,medzilaborce,49.2719,21.9007,6.19,73,99,3.13,SK,1697680290
207,kisangani,0.5167,25.2,21.89,99,100,1.41,CD,1697680290
208,geraldton,-28.7667,114.6,23.23,56,100,4.12,AU,1697680290
209,flying fish cove,-10.4217,105.6791,27.82,74,75,6.17,CX,1697680290
210,priob'ye,62.5206,65.5964,1.64,77,26,7.95,RU,1697680291
211,hadibu,12.65,54.0333,27.36,79,2,1.92,YE,1697680291
212,thunder bay,48.4001,-89.3168,10.99,87,100,3.09,CA,1697680044
213,jahazpur,25.6167,75.2833,22.63,54,0,1.9,IN,1697680291
214,ngunut,-8.1058,112.0159,30.64,50,78,4.48,ID,1697680291
215,save,8.0425,2.486,23.53,95,100,1.25,BJ,1697680291
216,suva,-18.1416,178.4415,28.71,61,75,6.17,FJ,1697680291
217,stanley,54.868,-1.6985,10.4,93,100,9.2,GB,1697680291
218,nyurba,63.2842,118.3319,-9.72,87,33,2.1,RU,1697680291
219,chernyshevskiy,63.0128,112.4714,-4.46,86,100,1.86,RU,1697680292
220,sisimiut,66.9395,-53.6735,-4.96,79,99,6.13,GL,1697680292
221,inzhavino,52.3185,42.4937,5.35,65,100,4.3,RU,1697680292
222,kyabe,9.4515,18.9449,22.98,62,95,1.13,TD,1697680292
223,rurrenabaque,-14.4413,-67.5278,24.56,75,100,1.35,BO,1697680292
224,vadso,70.0744,29.7487,0.49,80,20,7.2,NO,1697680292
225,le lavandou,43.137,6.366,19.31,89,75,2.57,FR,1697680292
226,port hedland,-20.3167,118.5667,40.03,5,0,4.63,AU,1697680292
227,muncar,-8.4333,114.3333,29.64,63,36,2.8,ID,1697680292
228,klyuchi,52.2667,79.1667,7.55,50,32,3.56,RU,1697680293
229,ziro,27.6333,93.8333,11.41,81,14,1.03,IN,1697680293
230,saint-pierre,-21.3393,55.4781,24.82,78,100,0.0,RE,1697680293
231,talpa de allende,20.3833,-104.8167,18.94,68,100,1.94,MX,1697680293
232,dampit,-8.2116,112.7493,29.89,46,81,2.43,ID,1697680293
233,nadym,65.5333,72.5167,2.16,89,51,5.74,RU,1697680293
234,cedeira,43.6797,-8.0209,16.88,85,86,11.2,ES,1697680293
235,taroa,8.7058,171.2275,25.82,81,100,1.42,MH,1697680293
236,kingston,17.997,-76.7936,29.53,85,20,4.63,JM,1697680293
237,betio village,1.358,172.9211,27.02,76,100,11.74,KI,1697680294
238,badger,64.8,-147.5333,-1.68,77,100,2.06,US,1697680294
239,burang,30.25,81.1667,-1.62,45,0,1.52,CN,1697680294
240,west bay,19.3667,-81.4167,25.56,93,75,1.54,KY,1697680294
241,alenquer,-1.9417,-54.7383,26.2,71,77,1.22,BR,1697680294
242,fort bragg,35.139,-79.006,13.75,90,0,0.0,US,1697680294
243,richards bay,-28.783,32.0377,18.79,94,71,1.75,ZA,1697680294
244,opalenica,52.3089,16.4128,5.48,65,100,5.53,PL,1697680294
245,umba,66.6871,34.3429,0.78,86,65,4.47,RU,1697680294
246,sao borja,-28.6606,-56.0044,17.75,93,89,5.27,BR,1697680279
247,bhum,18.4667,75.6667,24.39,62,50,2.5,IN,1697680295
248,fukuecho,32.6881,128.8419,23.2,64,40,3.09,JP,1697680295
249,arambol,15.6868,73.7045,25.94,84,43,1.69,IN,1697680295
250,raton,36.9034,-104.4391,15.34,36,0,2.06,US,1697680295
251,grand falls-windsor,48.9332,-55.6649,2.5,90,9,2.91,CA,1697680295
252,greenville,35.6127,-77.3663,15.07,90,100,0.0,US,1697680229
253,kalevala,65.2,31.1667,1.72,99,85,2.68,RU,1697680295
254,leh,34.1667,77.5833,-0.05,61,23,1.11,IN,1697680295
255,lebu,-37.6167,-73.65,9.73,89,6,1.28,CL,1697680295
256,katsuura,35.1333,140.3,23.36,62,73,8.37,JP,1697680295
257,krasnyy yar,46.5331,48.3456,7.96,60,100,2.92,RU,1697680296
258,mahibadhoo,3.7833,72.9667,27.61,75,100,5.4,MV,1697680296
259,hauterive,46.0901,3.4459,16.42,92,71,2.33,FR,1697680296
260,utrik,11.2278,169.8474,28.32,71,86,7.88,MH,1697680296
261,sechura,-5.5569,-80.8222,21.05,77,66,7.14,PE,1697680296
262,villa gesell,-37.2639,-56.973,10.32,62,100,4.03,AR,1697680296
263,rikaze,29.25,88.8833,3.82,45,2,1.32,CN,1697680296
264,pisco,-13.7,-76.2167,19.03,88,100,6.17,PE,1697679999
265,bafq,31.6128,55.4107,18.48,32,25,2.0,IR,1697680296
266,helong,42.5397,128.9972,11.29,44,0,5.21,CN,1697680297
267,bereket,39.2446,55.5154,16.42,57,0,4.18,TM,1697680297
268,flin flon,54.7682,-101.865,6.22,66,100,2.07,CA,1697680297
269,warrnambool,-38.3833,142.4833,21.38,44,93,2.15,AU,1697680275
270,ukhta,63.5671,53.6835,4.2,68,100,6.26,RU,1697680199
271,loreto,22.2667,-101.9667,18.56,27,100,4.34,MX,1697680297
272,bodo,67.28,14.405,-0.59,81,7,7.72,NO,1697680118
273,pindushi,62.9152,34.58,0.59,84,66,4.06,RU,1697680297
274,lautoka,-17.6167,177.4667,28.92,61,40,6.17,FJ,1697680297
275,polyarnyy,69.1989,33.4478,1.64,63,100,8.63,RU,1697680297
276,port alfred,-33.5906,26.891,16.21,97,6,2.42,ZA,1697680297
277,campo formoso,-10.5075,-40.3214,20.73,53,33,2.77,BR,1697680298
278,wainwright,52.839,-110.8572,12.3,49,46,2.75,CA,1697680298
279,uzda,53.4627,27.2137,2.1,93,100,2.79,BY,1697680298
280,motygino,58.1831,94.7592,4.88,75,94,0.89,RU,1697680298
281,ketchikan,55.3422,-131.6461,12.26,94,100,8.23,US,1697680298
282,bardai,11.65,7.2333,23.74,31,84,3.13,NG,1697680298
283,fortaleza,-3.7227,-38.5247,27.07,78,40,4.12,BR,1697680035
284,vredendal,-31.6683,18.5012,21.82,50,0,4.56,ZA,1697680298
285,salinopolis,-0.6136,-47.3561,27.1,79,32,6.15,BR,1697680299
286,peniche,39.3558,-9.3811,21.27,96,71,7.93,PT,1697680299
287,mccook,40.2019,-100.6257,14.25,44,0,4.63,US,1697680299
288,jiaozuo,35.2397,113.2331,18.81,57,100,3.04,CN,1697680299
289,camana,-16.6228,-72.7111,19.93,84,44,2.74,PE,1697680299
290,yorkton,51.2167,-102.4677,10.91,76,20,3.6,CA,1697680019
291,guanica,17.9716,-66.908,27.25,66,4,3.1,PR,1697680299
292,lubang,13.8584,120.124,28.46,77,99,7.92,PH,1697680299
293,kuta,-8.7233,115.1723,28.97,74,20,6.71,ID,1697680300
294,mana,5.6592,-53.7767,26.7,83,100,4.57,GF,1697680300
295,tazovsky,67.4667,78.7,4.03,96,100,4.7,RU,1697680300
296,prado,-17.3411,-39.2208,23.94,78,9,3.87,BR,1697680300
297,pedernales,18.0384,-71.744,28.26,72,12,1.27,DO,1697680300
298,klaksvik,62.2266,-6.589,9.51,90,77,14.17,FO,1697680300
299,puerto baquerizo moreno,-0.9,-89.6,23.7,88,100,4.23,EC,1697680300
300,mirpur sakro,24.5474,67.6277,26.55,52,0,3.12,PK,1697680300
301,villa elisa,-25.3667,-57.6167,27.8,58,0,2.57,PY,1697680300
302,shahabad,27.65,79.95,20.61,59,0,2.01,IN,1697680300
303,tambopata,-12.7333,-69.1833,28.65,52,94,0.55,PE,1697680301
304,taoudenni,22.6783,-3.9836,30.65,14,51,2.37,ML,1697680301
305,enewetak,11.3474,162.3373,28.93,76,85,8.81,MH,1697680301
306,birjand,32.8663,59.2211,9.26,43,0,2.06,IR,1697680301
307,slavgorod,52.9978,78.6449,7.69,53,38,3.46,RU,1697680301
308,antsiranana,-12.2787,49.2917,23.96,88,59,5.43,MG,1697680301
